Eviction ID,File Date,Neighborhoods - Analysis Boundaries
148,2010,South of Market
36,2000,Western Addition
38,1997,South of Market
8,2011,Financial District/South Beach
17,2020,North Beach
13,2002,Portola
16,2023,Bernal Heights
6,2019,Twin Peaks
4,2001,Japantown
1,2021,Seacliff
1,2003,Japantown
58,1997,Excelsior
51,2001,Russian Hill
67,2013,Excelsior
3,2012,Mission Bay
45,2004,Haight Ashbury
51,2017,Outer Mission
35,2003,Pacific Heights
90,2001,Excelsior
47,2007,Castro/Upper Market
11,2001,Glen Park
151,2019,Mission
50,2011,Outer Richmond
20,2022,Marina
53,2013,Bernal Heights
1,2011,McLaren Park
13,2007,Glen Park
12,2016,Twin Peaks
41,2014,Inner Richmond
25,2019,Inner Sunset
52,2008,Inner Richmond
6,2024,Chinatown
3,2009,
62,1999,South of Market
1,2021,
19,2023,Excelsior
55,1997,West of Twin Peaks
2,2007,Mission Bay
109,2014,Tenderloin
21,2004,Presidio Heights
27,2016,Portola
70,2000,Marina
186,2015,Mission
17,2019,Chinatown
8,2010,Financial District/South Beach
44,1997,Western Addition
14,2013,Visitacion Valley
61,2005,Haight Ashbury
40,2006,Russian Hill
46,2006,Pacific Heights
5,2014,Seacliff
43,2002,West of Twin Peaks
47,2008,Nob Hill
96,2000,Bernal Heights
9,2007,Financial District/South Beach
12,2023,North Beach
26,2017,Presidio Heights
17,2003,Presidio Heights
3,2018,Seacliff
120,1997,Inner Richmond
2,2024,Lakeshore
9,2014,Twin Peaks
26,2009,Portola
9,2014,Financial District/South Beach
70,2013,Castro/Upper Market
24,2011,West of Twin Peaks
7,1997,Financial District/South Beach
22,2013,Outer Mission
9,2022,Noe Valley
58,2010,Sunset/Parkside
17,2014,Presidio Heights
5,2016,Seacliff
21,2002,Outer Mission
44,2007,Bayview Hunters Point
32,2002,Presidio Heights
64,1998,Oceanview/Merced/Ingleside
59,1999,Nob Hill
1,2023,Seacliff
20,2007,Chinatown
112,2009,Tenderloin
169,2018,Mission
31,2019,Pacific Heights
33,2023,Nob Hill
10,2010,Potrero Hill
23,2019,Marina
39,2014,Outer Mission
53,2021,Financial District/South Beach
95,1999,Tenderloin
81,2016,Bayview Hunters Point
21,2011,Oceanview/Merced/Ingleside
58,2022,Outer Richmond
54,2001,Oceanview/Merced/Ingleside
45,2015,Western Addition
25,2012,Portola
54,2016,Inner Richmond
21,2011,Potrero Hill
4,1997,Lincoln Park
80,2004,Outer Richmond
30,2019,Castro/Upper Market
95,2000,Haight Ashbury
68,2002,Haight Ashbury
88,2008,Castro/Upper Market
178,2022,Financial District/South Beach
44,2018,Inner Richmond
41,2017,Inner Sunset
18,2023,Haight Ashbury
18,2009,Nob Hill
1,1997,Presidio
27,2014,Potrero Hill
33,2009,Noe Valley
40,2013,Oceanview/Merced/Ingleside
3,2020,West of Twin Peaks
1,2010,McLaren Park
40,2020,Sunset/Parkside
6,2018,Financial District/South Beach
27,2021,Marina
103,2018,Sunset/Parkside
42,2016,Inner Sunset
96,2013,Nob Hill
14,2020,Chinatown
17,2023,Inner Sunset
12,2003,Financial District/South Beach
72,2017,Bayview Hunters Point
19,2016,Potrero Hill
30,2019,Oceanview/Merced/Ingleside
15,2021,Excelsior
27,2015,Potrero Hill
75,2015,Bayview Hunters Point
24,2021,Inner Sunset
13,2009,Financial District/South Beach
11,2011,Presidio Heights
52,2019,Nob Hill
13,2009,Potrero Hill
18,2021,Mission Bay
16,2022,Russian Hill
34,2022,Mission Bay
16,2020,Noe Valley
311,2016,Lakeshore
87,2000,Nob Hill
1,2024,Twin Peaks
3,2019,
49,2009,Excelsior
34,2014,Visitacion Valley
23,2012,Oceanview/Merced/Ingleside
51,2003,Noe Valley
68,2005,South of Market
49,2002,Noe Valley
12,2021,North Beach
13,2009,Chinatown
53,2009,Outer Richmond
66,2000,Lone Mountain/USF
1,2001,Golden Gate Park
8,2020,Haight Ashbury
1,2015,Golden Gate Park
46,2009,Hayes Valley
72,1998,Russian Hill
188,1999,Sunset/Parkside
2,2004,
91,2021,South of Market
64,2014,Hayes Valley
14,1997,Chinatown
9,2006,Visitacion Valley
38,1997,Bayview Hunters Point
39,2008,Pacific Heights
47,2001,South of Market
92,2004,Castro/Upper Market
20,2007,Bernal Heights
27,2018,Oceanview/Merced/Ingleside
13,2024,Castro/Upper Market
5,2024,Noe Valley
76,1999,Excelsior
36,1997,Presidio Heights
4,2023,Presidio Heights
182,2003,Mission
13,2009,Marina
28,2021,Western Addition
50,2017,Bernal Heights
83,2006,Nob Hill
101,1999,Haight Ashbury
53,2013,Bayview Hunters Point
61,2011,Sunset/Parkside
121,1997,Haight Ashbury
5,2002,Japantown
44,2003,Bayview Hunters Point
63,2015,Pacific Heights
47,2010,Bayview Hunters Point
17,2003,Western Addition
66,1998,Nob Hill
37,2004,Lone Mountain/USF
51,2006,Haight Ashbury
20,2009,Inner Richmond
23,2012,Potrero Hill
37,2006,Bernal Heights
70,2016,Pacific Heights
67,2014,South of Market
